### Footprint positions - created on 2026-01-20T22:12:35-0800 ###
### Printed by KiCad version 9.0.7-9.0.7~ubuntu24.04.1
## Unit = inches, Angle = deg.
## Side : bottom
# Ref     Val                 Package                                           PosX       PosY       Rot  Side
R59       100k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.9210    -4.7320    0.0000  bottom
R60       100k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.9210    -4.8120  180.0000  bottom
R61       1.50k-1%-0805       R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.9000    -5.0950   90.0000  bottom
R62       1.50k-1%-0805       R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.8200    -5.0950   90.0000  bottom
R63       10k-1%-0805         R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.8050    -6.7274   90.0000  bottom
R64       10k-1%-0805         R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.7400    -5.0950  -90.0000  bottom
R65       1.50k-1%-0805       R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.7250    -6.7274  -90.0000  bottom
R66       10k-1%-0805         R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.5050    -6.7274   90.0000  bottom
R67       1.50k-1%-0805       R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.4250    -6.7274  -90.0000  bottom
R68       20k-1%-0805         R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.4000    -3.6800  180.0000  bottom
R69       20k-1%-0805         R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.4000    -3.7600  180.0000  bottom
R70       20k-1%-0805         R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.4000    -3.8400  180.0000  bottom
R71       10k-1%-0805         R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.3200    -4.4700    0.0000  bottom
R72       1.50k-1%-0805       R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.3200    -4.6300  180.0000  bottom
R73       10k-1%-0805         R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.3200    -4.7700    0.0000  bottom
R74       1.50k-1%-0805       R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.3200    -4.9300  180.0000  bottom
R75       10k-1%-0805         R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.3200    -5.0700    0.0000  bottom
R76       1.50k-1%-0805       R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.3200    -5.2300  180.0000  bottom
R77       10k-1%-0805         R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.3200    -5.3700    0.0000  bottom
R78       1.50k-1%-0805       R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.3200    -5.5300  180.0000  bottom
R79       10k-1%-0805         R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.3200    -5.6700    0.0000  bottom
R80       1.50k-1%-0805       R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.3200    -5.8300  180.0000  bottom
R81       10k-1%-0805         R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.3200    -5.9700    0.0000  bottom
R82       1.50k-1%-0805       R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.3200    -6.1300  180.0000  bottom
R83       10k-1%-0805         R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.3200    -6.2100    0.0000  bottom
R84       1.50k-1%-0805       R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.3200    -6.3700  180.0000  bottom
R85       10k-1%-0805         R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.3200    -6.4500    0.0000  bottom
R86       1.50k-1%-0805       R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.3200    -6.6100  180.0000  bottom
## End
