### Footprint positions - created on 2025-12-27T11:39:36-0800 ###
### Printed by KiCad version 9.0.6-9.0.6~ubuntu24.04.1
## Unit = inches, Angle = deg.
## Side : top
# Ref     Val                  Package                                                PosX       PosY       Rot  Side
A101      RaspberryPi_Pico2    RaspberryPi_Pico_Common_Unspecified                  8.0250    -3.7750    0.0000  top
R208      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          2.8142    -8.8580    0.0000  top
R209      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.0012    -8.0450    0.0000  top
R210      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.0012    -8.1612    0.0000  top
R211      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.0012    -8.2773    0.0000  top
R212      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.0012    -8.3935    0.0000  top
R213      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.0012    -8.5096    0.0000  top
R214      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.0012    -8.6257    0.0000  top
R215      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.0012    -8.7419    0.0000  top
R216      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.0012    -8.8580    0.0000  top
R217      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.1882    -8.0450    0.0000  top
R218      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.1882    -8.1612    0.0000  top
R219      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.1882    -8.2773    0.0000  top
R220      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.1882    -8.3935    0.0000  top
R221      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.1882    -8.5096    0.0000  top
R222      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.1882    -8.6257    0.0000  top
R223      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.1882    -8.7419    0.0000  top
R224      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.1882    -8.8580    0.0000  top
R225      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.3752    -8.0450    0.0000  top
R226      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.3752    -8.1612    0.0000  top
R227      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.3752    -8.2773    0.0000  top
R228      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.3752    -8.3935    0.0000  top
R229      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.3752    -8.5096    0.0000  top
R230      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.3752    -8.6257    0.0000  top
R231      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.3752    -8.7419    0.0000  top
R232      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.3752    -8.8580    0.0000  top
R233      10k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.5622    -8.0450    0.0000  top
R234      10k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.5622    -8.1612    0.0000  top
R235      10k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.5622    -8.2773    0.0000  top
R236      10k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.5622    -8.3935    0.0000  top
R237      10k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.5622    -8.5096    0.0000  top
R238      10k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.5622    -8.6257    0.0000  top
R239      10k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.5622    -8.7419    0.0000  top
R240      10k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.5622    -8.8580    0.0000  top
R241      10k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.7492    -8.0450    0.0000  top
R242      10k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.7492    -8.1612    0.0000  top
R243      10k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.7492    -8.2773    0.0000  top
R244      10k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.7492    -8.3935    0.0000  top
R245      10k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.7492    -8.5096    0.0000  top
R246      10k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.7492    -8.6257    0.0000  top
R247      10k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.7492    -8.7419    0.0000  top
R248      10k-1%-0805          R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          3.7492    -8.8580    0.0000  top
R301      100k-1%-0805         R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          9.7633    -2.8868    0.0000  top
