### Footprint positions - created on 2026-06-14T21:12:44 ###
### Printed by KiCad version 10.0.3-10.0.3~ubuntu26.04.1
## Unit = inches, Angle = deg.
## Side : top
# Ref     Val                          Package                                                       PosX       PosY       Rot  Side
R21       5.9k-1%-0603                 R_0603_1608Metric                                           7.8750    -5.3400   90.0000  top
R22       20K-1%-0603                  R_0603_1608Metric                                           7.9350    -5.3400  -90.0000  top
R23       357K-1%-0603                 R_0603_1608Metric                                           7.9950    -5.3400   90.0000  top
R24       5.1k-1%-0603                 R_0603_1608Metric                                           9.8380    -5.5850  180.0000  top
R25       5.1k-1%-0603                 R_0603_1608Metric                                           9.8380    -5.6450  180.0000  top
SW1       RESET                        SW_TL1105VF100Q_EWI                                         8.6914    -5.9310    0.0000  top
SW2       RECOVERY                     SW_TL1105VF100Q_EWI                                         9.1114    -5.9330    0.0000  top
U1        TPS613222ADBV                SOT-23-5                                                    9.1450    -3.7270    0.0000  top
U2        LM74700QDBVRQ1               SOT-23-6                                                    8.3726    -3.8900  180.0000  top
U3        STM32G431CBTx                LQFP-48_7x7mm_P0.5mm                                        9.1961    -4.2508   90.0000  top
U4        LM74700QDBVRQ1               SOT-23-6                                                    6.7100    -5.0100   90.0000  top
U5        ~                            HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP3.4x9.5mm_ThermalVias     7.5500    -5.0500   90.0000  top
U6        TJA1051T/3/1J                SO-8_3.9x4.9mm_P1.27mm                                      8.3623    -5.0880  -90.0000  top
U7        ISO6721BDR                   SOIC-8_3.9x4.9mm_P1.27mm                                    9.4072    -5.0887    0.0000  top
U8        FT232RNL                     SSOP-28_5.3x10.2mm_P0.65mm                                  9.4072    -5.4287    0.0000  top
## End
